id,category,split,answerable,question,gold_answer,answer_type,generated_answer,answer_correctness,citation_validity,citation_syntax_valid,judge_rationale,correct_refusal,over_refusal,cited_document_ids,gold_document_ids,top_20_document_ids,final_retrieval_status,top_rerank_score,title_retry,expansion_used,search_attempts,answer_latency_ms,judge_latency_ms,openai_calls,input_tokens,output_tokens,total_tokens,recall_at_5,recall_at_20,reciprocal_rank,ndcg_at_10
G001,single_hop,dev,True,Who directed Neon Meridian?,Mara Voss,answer,The film *Neon Meridian* was directed by Mara Voss[1][2].,1.0,1.0,1.0,"The generated answer states that Neon Meridian was directed by Mara Voss, which exactly matches the gold answer. The citations [1] and [2] correspond to the gold document 'fictional-neon-meridian', where the director is explicitly listed as Mara Voss. There are no extra unsupported claims in the generated answer.",,0.0,fictional-neon-meridian,fictional-neon-meridian,fictional-neon-meridian || tt32228484 || tt26427582 || tt33088099 || fictional-ember-transit || fictional-paper-moons-of-caldera || tt21027078 || tt34872408 || tt34163604 || tt32634330 || tt29008864 || tt36177959 || tt28718613 || tt36021583 || tt33378223 || tt33043645 || tt34861373 || tt33087870,ok,7.683048,False,False,1,3730.092,2304.632,2,3104,99,3203,1.0,1.0,1.0,1.0
G002,single_hop,dev,True,What is the runtime of Neon Meridian?,128 minutes,answer,The runtime of *Neon Meridian* is 128 minutes.[1][2],1.0,1.0,1.0,"The generated answer states that the runtime of Neon Meridian is 128 minutes, which exactly matches the gold answer '128 minutes'. The answer is supported by citations [1] and [2] from the relevant document 'fictional-neon-meridian', which explicitly mention the runtime as 128 minutes. Therefore, the answer is fully correct and properly cited.",,0.0,fictional-neon-meridian,fictional-neon-meridian,fictional-neon-meridian || fictional-paper-moons-of-caldera || fictional-clockwork-tide || fictional-ember-transit || fictional-the-orchard-below || tt31870184 || tt35571169 || tt23143606 || tt32014158 || tt27262828 || tt33255196 || tt33334564 || tt32658576 || tt34356684 || tt23018852 || tt36451817 || tt31455863 || tt14674972,ok,5.239902,False,False,1,2777.341,1883.564,2,4384,105,4489,1.0,1.0,1.0,1.0
G003,single_hop,dev,True,What genres describe Neon Meridian?,Science Fiction and Thriller,answer,*Neon Meridian* is described as a Science Fiction and Thriller film[1][2].,1.0,1.0,1.0,"The generated answer states that Neon Meridian is a Science Fiction and Thriller film, which exactly matches the gold answer 'Science Fiction and Thriller'. The citations [1][2] correspond to the provided evidence in the 'fictional-neon-meridian' document, particularly the explicit mention 'Genres: Science Fiction, Thriller' in context 1. There are no additional unsupported claims or errors.",,0.0,fictional-neon-meridian,fictional-neon-meridian,fictional-neon-meridian || tt34872408 || fictional-clockwork-tide || fictional-paper-moons-of-caldera || fictional-ember-transit || fictional-the-orchard-below || tt21856850 || tt32014158 || tt15311492 || tt28611345 || tt28302848 || tt19889242 || tt32409947 || tt32658576 || tt23143606 || tt33499787 || tt33440748 || tt31848337,ok,6.152273,False,False,1,2227.131,2166.703,2,3936,112,4048,1.0,1.0,1.0,1.0
G004,single_hop,dev,True,Who directed The Orchard Below?,Ruben Hale,not_in_sources,"That looks like a movie question, but the current IMDb/TMDb sources do not contain enough reliable information to answer it.",0.0,0.0,0.0,,,1.0,,fictional-the-orchard-below,fictional-the-orchard-below || tt33088887 || tt28088049 || tt26427582 || tt34163604 || tt33088099 || tt30876828 || tt36177959 || tt33378223 || tt33087870 || tt34378914 || tt31848337 || tt33043645 || tt21152782 || tt36286603 || tt36307021 || tt30691214 || tt34107154 || tt26475239,ok,7.863292,False,False,1,2105.914,0.0,1,1796,10,1806,1.0,1.0,1.0,1.0
G005,single_hop,dev,True,Who wrote The Orchard Below?,Sofia Bell,not_in_sources,"That looks like a movie question, but the current IMDb/TMDb sources do not contain enough reliable information to answer it.",0.0,0.0,0.0,,,1.0,,fictional-the-orchard-below,fictional-the-orchard-below || tt36177959 || tt32397787 || tt28302848 || tt36120762 || tt33043645 || tt33253151 || tt32658576 || tt14576898 || tt36307021 || tt33378223 || tt27802226 || tt32457035 || tt36286603 || tt11611166 || tt10518942 || tt18342860 || tt17056778 || tt35625318,ok,5.914745,False,False,1,2254.207,0.0,1,1766,10,1776,1.0,1.0,1.0,1.0
G006,single_hop,dev,True,What is the runtime of The Orchard Below?,111 minutes,answer,The runtime of *The Orchard Below* is 111 minutes. [1][2],1.0,0.0,1.0,"The generated answer correctly states that the runtime of The Orchard Below is 111 minutes, which matches the gold answer. The gold evidence and context 1 both confirm the runtime as 111 minutes. However, the generated answer cites [1][2], but context 2 does not contain runtime information, so citation [2] is not valid for the stated fact. Although citation [1] fully supports the answer, the inclusion of an invalid citation marker [2] makes the citation partially invalid according to the instructions.",,0.0,fictional-the-orchard-below,fictional-the-orchard-below,fictional-the-orchard-below || fictional-paper-moons-of-caldera || fictional-clockwork-tide || fictional-ember-transit || fictional-neon-meridian || tt30691214 || tt36307021 || tt26424426 || tt35571169 || tt35568188 || tt27790748 || tt32658576 || tt34356684 || tt29671815 || tt27720130 || tt31738051 || tt28553687 || tt33760366 || tt35718349,ok,5.75105,False,False,1,2431.773,3324.81,2,4592,137,4729,1.0,1.0,1.0,1.0
G007,single_hop,dev,True,Who directed Ember Transit?,Keon Mercer,not_in_sources,"That looks like a movie question, but the current IMDb/TMDb sources do not contain enough reliable information to answer it.",0.0,0.0,0.0,,,1.0,,fictional-ember-transit,fictional-ember-transit || tt33088887 || tt26427582 || tt32228484 || tt33088099 || tt34163604 || fictional-neon-meridian || tt36417146 || tt28302848 || tt15474782 || tt28718613 || tt35325482 || tt33043645 || tt34861373 || tt33087870 || tt32298956 || tt1796506 || tt35291758,ok,6.872936,False,False,1,2131.674,0.0,1,1874,11,1885,1.0,1.0,1.0,1.0
G008,single_hop,dev,True,Who plays Jules Arlen in Ember Transit?,Cass Rowan,answer,Cass Rowan plays Jules Arlen in *Ember Transit* [1].,1.0,1.0,1.0,"The generated answer states that Cass Rowan plays Jules Arlen in Ember Transit, which exactly matches the gold answer 'Cass Rowan'. The provided evidence quote from the gold document clearly states 'Top cast: Cass Rowan as Jules Arlen', fully supporting the claim. The generated answer also properly cites the source [1], which corresponds to the gold document. There are no extra unsupported claims, and the answer is specific and fully correct.",,0.0,fictional-ember-transit,fictional-ember-transit,fictional-ember-transit || tt32293052 || tt31326337 || tt26427582 || tt34378914 || tt31041943 || tt32457035 || tt30320596 || tt33088099 || tt32525017 || tt32658576 || fictional-neon-meridian || tt15311492 || tt29717607 || tt32582148 || tt28718613 || tt29345740 || tt33571304 || tt32298956,ok,6.989957,False,False,1,2202.935,2350.712,2,2952,116,3068,1.0,1.0,1.0,1.0
G009,single_hop,dev,True,What is Ember Transit's mock IMDb rating?,7.9 from 22110 votes,answer,"Ember Transit has a mock IMDb rating of 7.9 based on 22,110 votes.[1][2]",1.0,1.0,1.0,"The generated answer states the mock IMDb rating of Ember Transit as 7.9 based on 22,110 votes, which exactly matches the gold answer '7.9 from 22110 votes'. The format differences (such as the comma in the number and using 'based on' instead of 'from') are acceptable equivalents. Both factual claims are supported by citations [1][2], which point to the same document where the exact rating and vote count are clearly stated. There are no unsupported or extra factual claims in the generated answer.",,0.0,fictional-ember-transit,fictional-ember-transit,fictional-ember-transit || fictional-clockwork-tide || fictional-paper-moons-of-caldera || fictional-the-orchard-below || fictional-neon-meridian || tt33088099 || tt28718613 || tt32840425 || tt35878103 || tt31409061 || tt26427582 || tt35291758 || tt35325482 || tt34599705 || tt35624695 || tt36120702 || tt32228484,ok,6.127931,False,False,1,3424.84,1913.154,2,4592,149,4741,1.0,1.0,1.0,1.0
G010,single_hop,test,True,Who directed Clockwork Tide?,Anika Shore,answer,Clockwork Tide was directed by Anika Shore.[1][2],1.0,1.0,1.0,"The generated answer states that 'Clockwork Tide' was directed by Anika Shore, which exactly matches the gold answer. The provided evidence quote explicitly confirms 'Director: Anika Shore' in the 'fictional-clockwork-tide' document, which is cited as [1]. The citation numbers [1][2] in the generated answer both refer to documents related to 'Clockwork Tide', with [1] directly supporting the director claim. There are no extra unsupported factual claims in the generated answer.",,0.0,fictional-clockwork-tide,fictional-clockwork-tide,fictional-clockwork-tide || tt33088887 || tt35675151 || tt26427582 || tt34163604 || tt32228484 || tt33088099 || tt29008864 || tt36417146 || tt29959401 || fictional-neon-meridian || tt13273052 || tt33043645 || tt32547691 || tt33087870 || tt21027078 || tt36103784 || tt32014158 || tt26475239,ok,6.139501,False,False,1,2372.802,1919.068,2,3005,131,3136,1.0,1.0,1.0,1.0
