id,split,question,baseline,status,correct_refusal,returned_documents,latency_ms,top_20_document_ids
U001,dev,What is the capital of France?,B0_closed_book_refusal,refused,1.0,0,0.005,
U001,dev,What is the capital of France?,B1_bm25,ok,0.0,20,7.893,tt28553375 || tt33096650 || tt36187539 || tt31136586 || tt32358921 || tt29316652 || tt13665532 || tt30851137 || tt31455863 || tt35571169 || tt12097608 || tt32658576 || tt34734549 || tt32612507 || tt28611345 || tt33255196 || tt31738051 || tt33334564 || tt2355896 || tt30833294
U001,dev,What is the capital of France?,B2_dense_naive,ok,0.0,20,22.227,tt28553375 || tt36187539 || tt36048393 || tt32358921 || tt11611166 || tt29316652 || tt12097608 || tt33509147 || tt33708076 || tt36230671 || tt32347068 || tt14984912 || tt35671745 || tt32397787 || tt30958418 || tt13129406 || tt14850054 || tt33980836 || tt34916741 || tt36415552
U001,dev,What is the capital of France?,B3_final,low_confidence,1.0,20,892.275,tt28553375 || tt36187539 || tt32358921 || tt12097608 || tt29316652 || tt32397787 || tt13665532 || tt31136586 || tt30958418 || tt33708076 || tt36048393 || tt35671745 || tt11611166 || tt35571169 || tt36230671 || tt33334564 || tt33509147 || tt32658576 || tt14984912 || tt32347068
U002,dev,What will the weather be in Chicago tomorrow?,B0_closed_book_refusal,refused,1.0,0,0.002,
U002,dev,What will the weather be in Chicago tomorrow?,B1_bm25,ok,0.0,20,10.959,tt32192760 || tt30851137 || tt35339964 || tt24060916 || tt35079512 || tt32542065 || tt35373270 || tt33255196 || tt32298956 || tt10845876 || tt32840425 || tt11609626 || tt36130077 || tt34705112 || tt29897844 || tt26680792 || tt18239362 || tt31848337 || tt32612507 || tt31689648
U002,dev,What will the weather be in Chicago tomorrow?,B2_dense_naive,ok,0.0,20,38.588,tt36415552 || tt35079512 || tt27558029 || tt33499787 || tt28106059 || tt32547691 || tt36331860 || tt21853406 || fictional-neon-meridian || tt32409947 || tt34934816 || tt33058293 || tt35339964 || tt31689648 || tt33253151 || tt29516222 || tt28302848 || tt19853742 || tt32362890 || tt32125009
U002,dev,What will the weather be in Chicago tomorrow?,B3_final,low_confidence,1.0,20,740.623,tt31689648 || tt32192760 || tt32542065 || tt32840425 || tt32298956 || tt35339964 || tt30851137 || tt26680792 || fictional-neon-meridian || tt35079512 || tt33058293 || tt36331860 || tt28106059 || tt29897844 || tt10845876 || tt32547691 || tt33253151 || tt32409947 || tt36130077 || tt33499787
U003,dev,What is Apple's current stock price?,B0_closed_book_refusal,refused,1.0,0,0.02,
U003,dev,What is Apple's current stock price?,B1_bm25,ok,0.0,20,12.315,tt30827810 || tt24060916 || tt34163604 || tt30691214 || tt28302848 || tt27919019 || tt27720130 || tt35625057 || tt36163614 || tt30851137 || tt36130077 || tt31738051 || tt24854592 || tt32658576 || fictional-the-orchard-below || tt35064672 || tt11609626 || tt33334564 || tt35509393 || tt31455863
U003,dev,What is Apple's current stock price?,B2_dense_naive,ok,0.0,19,12.902,tt24060916 || tt30691214 || tt21853406 || fictional-the-orchard-below || tt1959374 || tt21109170 || tt18212138 || tt21364576 || tt14201728 || tt33571304 || tt27720130 || tt33612209 || tt24854592 || tt31867154 || tt22046822 || tt35718349 || tt32658576 || tt34459219 || tt26470786
U003,dev,What is Apple's current stock price?,B3_final,low_confidence,1.0,19,1254.923,tt30691214 || tt36163614 || tt33571304 || tt32658576 || tt33334564 || fictional-the-orchard-below || tt24854592 || tt21364576 || tt34163604 || tt22046822 || tt27919019 || tt24060916 || tt31738051 || tt30851137 || tt27720130 || tt11609626 || tt35064672 || tt35625057 || tt1959374
U004,dev,How do I solve the equation x squared minus five x plus six equals zero?,B0_closed_book_refusal,refused,1.0,0,0.001,
U004,dev,How do I solve the equation x squared minus five x plus six equals zero?,B1_bm25,ok,0.0,20,19.827,tt35004350 || tt21266572 || tt31113669 || tt31315283 || tt35712847 || tt12042730 || tt36322381 || tt30227670 || tt35376053 || tt31382021 || tt26258714 || tt32161395 || tt30505578 || tt27818128 || tt35249541 || tt35819561 || tt32317643 || tt34705112 || tt32093575 || tt35048004
U004,dev,How do I solve the equation x squared minus five x plus six equals zero?,B2_dense_naive,low_confidence,1.0,20,23.765,tt23143606 || tt36067615 || tt28289169 || tt33542015 || tt23018852 || tt23552146 || tt29952017 || tt35004350 || tt35231529 || tt35633603 || tt11611166 || tt28553375 || tt33253151 || tt13137408 || tt36284371 || tt35053810 || tt32869207 || tt32222185 || tt28106059 || tt34622232
U004,dev,How do I solve the equation x squared minus five x plus six equals zero?,B3_final,low_confidence,1.0,20,763.028,tt31113669 || tt27818128 || tt35249541 || tt30505578 || tt26258714 || tt32161395 || tt35712847 || tt12042730 || tt36322381 || tt31382021 || tt31315283 || tt28553375 || tt35004350 || tt36284371 || tt35633603 || tt35376053 || tt13137408 || tt21266572 || tt30227670 || tt36067615
U005,dev,Write a Python implementation of quicksort.,B0_closed_book_refusal,refused,1.0,0,0.002,
U005,dev,Write a Python implementation of quicksort.,B1_bm25,ok,0.0,20,12.785,tt35047940 || tt35891686 || tt33998222 || tt1402593 || tt33270254 || tt20259240 || tt28088049 || tt33480564 || tt36107540 || tt36161641 || tt29952017 || tt27451332 || tt28447429 || tt33293600 || tt14676094 || tt34383748 || tt36118360 || tt32573398 || tt34621791 || tt1742179
U005,dev,Write a Python implementation of quicksort.,B2_dense_naive,ok,0.0,20,9.38,tt31848337 || tt32658576 || tt32631944 || tt22046822 || tt33253151 || tt35682680 || tt31050594 || tt34510525 || tt36177959 || tt30978108 || tt36314978 || tt34587486 || tt33247653 || fictional-clockwork-tide || tt34579449 || tt29302662 || tt35111865 || tt29493810 || tt32293052 || tt32118617
U005,dev,Write a Python implementation of quicksort.,B3_final,low_confidence,1.0,20,760.923,tt29952017 || tt36161641 || tt36177959 || tt36314978 || tt32658576 || tt33270254 || tt34587486 || tt33253151 || tt33293600 || tt1402593 || tt35047940 || tt36107540 || tt35891686 || tt28088049 || tt20259240 || tt35682680 || tt33480564 || tt14676094 || tt22046822 || tt29302662
U006,dev,Give me a vegetarian lasagna recipe.,B0_closed_book_refusal,refused,1.0,0,0.002,
U006,dev,Give me a vegetarian lasagna recipe.,B1_bm25,ok,0.0,20,12.424,tt36322381 || tt28553375 || tt32344535 || tt12421680 || tt14338246 || tt13137408 || tt33499857 || tt27720130 || tt26720806 || tt21092260 || tt36398612 || tt36461929 || tt35746577 || tt34446638 || tt36021583 || tt13868840 || tt23018852 || fictional-the-orchard-below || tt30876486 || tt27590933
U006,dev,Give me a vegetarian lasagna recipe.,B2_dense_naive,ok,0.0,20,21.621,tt33354831 || tt33996258 || tt29377719 || tt35611573 || tt33268003 || tt33097798 || tt35828434 || tt35748025 || tt28603964 || tt30012780 || tt15180340 || tt35683453 || tt30267245 || tt27552099 || tt36067615 || tt34693872 || tt35618773 || tt35325482 || tt31888498 || tt35295423
