id,baseline,error_label,status,gold_document_ids,top_20_document_ids
G027,B2_dense_naive,retrieval_miss,ok,fictional-the-orchard-below,tt21853406 || tt33440748 || fictional-ember-transit || fictional-neon-meridian || tt34163604 || tt26681192 || tt36364266 || tt23143606 || tt32582148 || tt34861373 || fictional-clockwork-tide || tt32358025 || tt36119712 || tt12810824 || tt32437905 || tt26427582 || tt33452002 || tt29922891 || tt33542015 || tt28088049
G030,B1_bm25,hallucination_risk_no_refusal,ok,,fictional-neon-meridian || tt10370856 || tt34382183 || tt21027078 || tt35571169 || tt27369017 || tt32873023 || tt34872408 || tt32879420 || tt12663406 || tt27673536 || tt20414854 || tt33083436 || tt33379670 || tt27505337 || tt31888337 || tt35891036 || tt28629017
G030,B2_dense_naive,hallucination_risk_no_refusal,ok,,fictional-neon-meridian || fictional-paper-moons-of-caldera || tt32228484 || tt26427582 || tt34861373 || tt23143606 || tt36329258 || tt33088099 || tt13080164 || tt29008864 || tt1959374 || tt23018852 || tt34663597 || tt28718613 || tt32409947 || tt27262828 || tt29922891 || tt34356684 || fictional-ember-transit || tt32014158
G030,B3_final,hallucination_risk_no_refusal,ok,,fictional-neon-meridian || tt34872408 || tt21027078 || tt36329258 || tt35571169 || tt33083436 || tt27505337 || tt34861373 || tt33088099 || tt32228484 || tt27369017 || tt20414854 || fictional-clockwork-tide || tt27673536 || tt23143606 || tt29008864 || tt12663406 || tt23018852
G031,B1_bm25,hallucination_risk_no_refusal,ok,,fictional-the-orchard-below || tt31411238 || fictional-ember-transit || fictional-clockwork-tide || fictional-neon-meridian || tt32840425 || tt34382183 || tt36307021 || tt31261102 || fictional-paper-moons-of-caldera || tt34440913 || tt35878103 || tt32879420 || tt12663406 || tt20414854 || tt33083436 || tt33379670 || tt35249541 || tt34663597
G031,B2_dense_naive,hallucination_risk_no_refusal,ok,,fictional-the-orchard-below || tt30691214 || tt36286603 || tt26427582 || tt30876828 || tt34378914 || tt35718349 || tt32192760 || tt35407595 || tt29377719 || tt21152782 || tt33037660 || tt34440913 || tt33088887 || tt27720130 || tt34163604 || tt31411238 || tt33088099 || tt35323618
G031,B3_final,hallucination_risk_no_refusal,ok,,fictional-the-orchard-below || tt34378914 || fictional-neon-meridian || tt31411238 || tt34440913 || fictional-ember-transit || fictional-paper-moons-of-caldera || tt36307021 || tt32840425 || fictional-clockwork-tide || tt33088887 || tt20414854 || tt36286603 || tt31261102 || tt35878103 || tt26427582 || tt27720130 || tt35718349 || tt30876828
G032,B1_bm25,hallucination_risk_no_refusal,ok,,fictional-ember-transit || tt35309781 || tt34246939 || tt24326458 || tt36120702 || tt34425110 || tt32658576 || tt28942997 || tt34705112 || tt34385135 || tt29510495 || tt35148005 || tt14330326 || tt1402593 || tt10845876 || tt29897844 || tt24060916 || tt31848337 || tt24854592
G032,B2_dense_naive,hallucination_risk_no_refusal,ok,,fictional-ember-transit || tt31041943 || tt32409947 || tt33499787 || fictional-neon-meridian || tt34246939 || tt32582148 || tt28302848 || fictional-paper-moons-of-caldera || tt28289169 || tt33317100 || tt28718613 || tt31078765 || tt32085129 || tt21853406 || tt28106059 || tt1796506 || tt32228484 || tt33542015 || tt32298956
G032,B3_final,hallucination_risk_no_refusal,ok,,fictional-ember-transit || tt34246939 || tt34425110 || tt35309781 || fictional-neon-meridian || tt24326458 || tt35148005 || tt32582148 || tt1402593 || tt34385135 || tt32658576 || tt32409947 || tt28718613 || tt28942997 || tt32085129 || tt14330326 || tt28106059 || tt36120702 || tt28302848
G033,B1_bm25,hallucination_risk_no_refusal,ok,,tt18239362 || fictional-clockwork-tide || tt32569057 || tt11799770 || tt27720130 || tt34733903 || tt33763941 || tt25457710 || tt14999468 || tt27834186 || tt30320596 || tt31844635 || tt22687548 || tt36103784 || tt32358025 || tt32869207 || tt35633603 || tt25377130 || tt30227670
G033,B2_dense_naive,hallucination_risk_no_refusal,ok,,fictional-clockwork-tide || tt32014158 || tt27552099 || tt33088099 || tt21027078 || tt32085129 || tt34872408 || tt14985230 || tt26427582 || tt29008864 || tt28302848 || tt36163614 || fictional-neon-meridian || tt14812664 || tt32228484 || tt35675151 || tt28718613 || tt27751771 || tt29922891
G034,B1_bm25,hallucination_risk_no_refusal,ok,,fictional-paper-moons-of-caldera || tt35487706 || tt35309781 || tt32205214 || tt30324264 || tt32112775 || tt27575701 || tt27564844 || tt35022209 || fictional-the-orchard-below || tt35226712 || tt28334938 || tt34888646 || tt33184184 || tt36107540 || tt35746577 || tt30851137 || tt32267691 || fictional-ember-transit
G034,B2_dense_naive,hallucination_risk_no_refusal,ok,,fictional-paper-moons-of-caldera || tt28302848 || tt32014158 || tt20259240 || tt13975248 || tt35625318 || tt32118517 || fictional-neon-meridian || tt31827708 || tt29952017 || tt32915652 || tt33549474 || tt28289169 || tt35076988 || tt33400053 || tt34356684 || tt10518942 || tt33334564 || tt26680792
G034,B3_final,hallucination_risk_no_refusal,ok,,fictional-paper-moons-of-caldera || tt27564844 || fictional-neon-meridian || fictional-the-orchard-below || tt35487706 || tt27575701 || tt35022209 || tt35226712 || tt32205214 || tt33184184 || tt34888646 || tt32014158 || tt28302848 || tt33549474 || tt35309781 || tt35625318 || tt32112775 || tt32915652
