id,category,split,question,answerable,gold_answer,gold_document_ids,source_urls,evidence_quotes,searched_for,human_verified
G001,single_hop,dev,Who directed Neon Meridian?,true,Mara Voss,fictional-neon-meridian,local://fictional-movie-pdfs/neon_meridian.pdf,Director: Mara Voss,,false
G002,single_hop,dev,What is the runtime of Neon Meridian?,true,128 minutes,fictional-neon-meridian,local://fictional-movie-pdfs/neon_meridian.pdf,Runtime: 128 minutes,,false
G003,single_hop,dev,What genres describe Neon Meridian?,true,"Science Fiction and Thriller",fictional-neon-meridian,local://fictional-movie-pdfs/neon_meridian.pdf,"Genres: Science Fiction, Thriller",,false
G004,single_hop,dev,Who directed The Orchard Below?,true,Ruben Hale,fictional-the-orchard-below,local://fictional-movie-pdfs/the_orchard_below.pdf,Director: Ruben Hale,,false
G005,single_hop,dev,Who wrote The Orchard Below?,true,Sofia Bell,fictional-the-orchard-below,local://fictional-movie-pdfs/the_orchard_below.pdf,Writer: Sofia Bell,,false
G006,single_hop,dev,What is the runtime of The Orchard Below?,true,111 minutes,fictional-the-orchard-below,local://fictional-movie-pdfs/the_orchard_below.pdf,Runtime: 111 minutes,,false
G007,single_hop,dev,Who directed Ember Transit?,true,Keon Mercer,fictional-ember-transit,local://fictional-movie-pdfs/ember_transit.pdf,Director: Keon Mercer,,false
G008,single_hop,dev,Who plays Jules Arlen in Ember Transit?,true,Cass Rowan,fictional-ember-transit,local://fictional-movie-pdfs/ember_transit.pdf,Top cast: Cass Rowan as Jules Arlen,,false
G009,single_hop,dev,What is Ember Transit's mock IMDb rating?,true,7.9 from 22110 votes,fictional-ember-transit,local://fictional-movie-pdfs/ember_transit.pdf,"Mock IMDb rating: 7.9 from 22,110 votes",,false
G010,single_hop,test,Who directed Clockwork Tide?,true,Anika Shore,fictional-clockwork-tide,local://fictional-movie-pdfs/clockwork_tide.pdf,Director: Anika Shore,,false
G011,single_hop,test,Who wrote Clockwork Tide?,true,Pavel Dune,fictional-clockwork-tide,local://fictional-movie-pdfs/clockwork_tide.pdf,Writer: Pavel Dune,,false
G012,single_hop,test,What is the runtime of Clockwork Tide?,true,134 minutes,fictional-clockwork-tide,local://fictional-movie-pdfs/clockwork_tide.pdf,Runtime: 134 minutes,,false
G013,single_hop,test,Who directed Paper Moons of Caldera?,true,Lumi Aster,fictional-paper-moons-of-caldera,local://fictional-movie-pdfs/paper_moons_of_caldera.pdf,Director: Lumi Aster,,false
G014,single_hop,test,What genres describe Paper Moons of Caldera?,true,"Animation, Family, and Science Fiction",fictional-paper-moons-of-caldera,local://fictional-movie-pdfs/paper_moons_of_caldera.pdf,"Genres: Animation, Family, Science Fiction",,false
G015,single_hop,test,When is Paper Moons of Caldera released?,true,"November 6, 2026",fictional-paper-moons-of-caldera,local://fictional-movie-pdfs/paper_moons_of_caldera.pdf,"Release date: November 6, 2026",,false
G016,multi_hop,dev,Which is longer Neon Meridian or The Orchard Below and by how many minutes?,true,Neon Meridian is 17 minutes longer,"fictional-neon-meridian || fictional-the-orchard-below","local://fictional-movie-pdfs/neon_meridian.pdf || local://fictional-movie-pdfs/the_orchard_below.pdf","Runtime: 128 minutes || Runtime: 111 minutes",,false
G017,multi_hop,dev,Which has the higher mock IMDb rating Ember Transit or Neon Meridian?,true,Neon Meridian is higher at 8.1 versus 7.9,"fictional-ember-transit || fictional-neon-meridian","local://fictional-movie-pdfs/ember_transit.pdf || local://fictional-movie-pdfs/neon_meridian.pdf","Mock IMDb rating: 7.9 from 22,110 votes || Mock IMDb rating: 8.1 from 18,420 votes",,false
G018,multi_hop,dev,Who directed Clockwork Tide and Paper Moons of Caldera?,true,Anika Shore directed Clockwork Tide and Lumi Aster directed Paper Moons of Caldera,"fictional-clockwork-tide || fictional-paper-moons-of-caldera","local://fictional-movie-pdfs/clockwork_tide.pdf || local://fictional-movie-pdfs/paper_moons_of_caldera.pdf","Director: Anika Shore || Director: Lumi Aster",,false
G019,multi_hop,dev,Which was released first The Orchard Below or Ember Transit?,true,The Orchard Below was released first on May 8 2026,"fictional-the-orchard-below || fictional-ember-transit","local://fictional-movie-pdfs/the_orchard_below.pdf || local://fictional-movie-pdfs/ember_transit.pdf","Release date: May 8, 2026 || Release date: June 12, 2026",,false
G020,multi_hop,test,What is the combined runtime of The Orchard Below and Paper Moons of Caldera?,true,213 minutes,"fictional-the-orchard-below || fictional-paper-moons-of-caldera","local://fictional-movie-pdfs/the_orchard_below.pdf || local://fictional-movie-pdfs/paper_moons_of_caldera.pdf","Runtime: 111 minutes || Runtime: 102 minutes",,false
G021,multi_hop,test,Which of Neon Meridian and Paper Moons of Caldera are science fiction films?,true,Both films are science fiction,"fictional-neon-meridian || fictional-paper-moons-of-caldera","local://fictional-movie-pdfs/neon_meridian.pdf || local://fictional-movie-pdfs/paper_moons_of_caldera.pdf","Genres: Science Fiction, Thriller || Genres: Animation, Family, Science Fiction",,false
G022,comparative,dev,Compare the mock IMDb ratings of Clockwork Tide and Paper Moons of Caldera.,true,Clockwork Tide is rated 8.3 and Paper Moons of Caldera is rated 8.0,"fictional-clockwork-tide || fictional-paper-moons-of-caldera","local://fictional-movie-pdfs/clockwork_tide.pdf || local://fictional-movie-pdfs/paper_moons_of_caldera.pdf","Mock IMDb rating: 8.3 from 31,450 votes || Mock IMDb rating: 8.0 from 12,780 votes",,false
G023,comparative,dev,Compare the runtimes of Ember Transit and The Orchard Below.,true,Ember Transit is 8 minutes longer at 119 minutes versus 111 minutes,"fictional-ember-transit || fictional-the-orchard-below","local://fictional-movie-pdfs/ember_transit.pdf || local://fictional-movie-pdfs/the_orchard_below.pdf","Runtime: 119 minutes || Runtime: 111 minutes",,false
G024,comparative,test,How do the genres of Neon Meridian and Ember Transit differ?,true,Neon Meridian is science fiction and thriller while Ember Transit is action and thriller,"fictional-neon-meridian || fictional-ember-transit","local://fictional-movie-pdfs/neon_meridian.pdf || local://fictional-movie-pdfs/ember_transit.pdf","Genres: Science Fiction, Thriller || Genres: Action, Thriller",,false
G025,comparative,test,Which has more mock IMDb votes Neon Meridian or Paper Moons of Caldera and by how many?,true,Neon Meridian has 5640 more votes,"fictional-neon-meridian || fictional-paper-moons-of-caldera","local://fictional-movie-pdfs/neon_meridian.pdf || local://fictional-movie-pdfs/paper_moons_of_caldera.pdf","Mock IMDb rating: 8.1 from 18,420 votes || Mock IMDb rating: 8.0 from 12,780 votes",,false
G026,temporal,dev,On what date is Neon Meridian released?,true,"March 20, 2026",fictional-neon-meridian,local://fictional-movie-pdfs/neon_meridian.pdf,"Release date: March 20, 2026",,false
