id,category,split,baseline,answerable,status,latency_ms,gold_document_ids,top_20_document_ids,recall_at_5,recall_at_20,reciprocal_rank,ndcg_at_10,answer_support_at_5,citation_valid_at_5,correct_refusal,over_refusal
G001,single_hop,dev,B0_closed_book_refusal,True,refused,0.1,fictional-neon-meridian,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G001,single_hop,dev,B1_bm25,True,ok,11.777,fictional-neon-meridian,fictional-neon-meridian || tt33087870 || tt21027078 || tt33088099 || tt34872408 || tt10518942 || tt33043645 || tt32129938 || tt14576898 || tt11082468 || tt18182628 || tt34766794 || tt14201728 || tt29345740 || tt35889287 || tt26475239 || tt17056778 || tt13650572,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G001,single_hop,dev,B2_dense_naive,True,ok,21.699,fictional-neon-meridian,fictional-neon-meridian || tt32228484 || fictional-paper-moons-of-caldera || tt34861373 || tt33083471 || tt26427582 || tt32634330 || tt36177959 || tt33378223 || tt33088099 || tt32409947 || tt36021583 || tt34163604 || tt29008864 || tt28718613 || tt36329258 || tt12097608 || tt32014158 || fictional-ember-transit || tt15474782,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G001,single_hop,dev,B3_final,True,ok,1357.616,fictional-neon-meridian,fictional-neon-meridian || tt32228484 || tt26427582 || tt33088099 || fictional-ember-transit || fictional-paper-moons-of-caldera || tt21027078 || tt34872408 || tt34163604 || tt32634330 || tt29008864 || tt36177959 || tt28718613 || tt36021583 || tt33378223 || tt33043645 || tt34861373 || tt33087870,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G002,single_hop,dev,B0_closed_book_refusal,True,refused,0.001,fictional-neon-meridian,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G002,single_hop,dev,B1_bm25,True,ok,11.502,fictional-neon-meridian,fictional-neon-meridian || tt30851137 || fictional-ember-transit || fictional-clockwork-tide || tt31455863 || tt35571169 || fictional-the-orchard-below || fictional-paper-moons-of-caldera || tt32658576 || tt34734549 || tt32612507 || tt28611345 || tt33255196 || tt31738051 || tt33334564 || tt2355896 || tt30833294 || tt27215011,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G002,single_hop,dev,B2_dense_naive,True,ok,15.899,fictional-neon-meridian,fictional-neon-meridian || fictional-paper-moons-of-caldera || fictional-clockwork-tide || tt32014158 || tt23143606 || fictional-ember-transit || tt23018852 || tt34356684 || tt36451817 || tt33334564 || tt32880540 || tt14674972 || tt28289169 || tt21109170 || tt27262828 || tt31870184 || tt35322760 || tt29952017 || tt36161641,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G002,single_hop,dev,B3_final,True,ok,1173.416,fictional-neon-meridian,fictional-neon-meridian || fictional-paper-moons-of-caldera || fictional-clockwork-tide || fictional-ember-transit || fictional-the-orchard-below || tt31870184 || tt35571169 || tt23143606 || tt32014158 || tt27262828 || tt33255196 || tt33334564 || tt32658576 || tt34356684 || tt23018852 || tt36451817 || tt31455863 || tt14674972,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G003,single_hop,dev,B0_closed_book_refusal,True,refused,0.0,fictional-neon-meridian,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G003,single_hop,dev,B1_bm25,True,ok,10.946,fictional-neon-meridian,fictional-neon-meridian || tt32658576 || fictional-the-orchard-below || tt15311492 || tt19889242 || tt21856850 || tt30851137 || tt28611345 || tt33255196 || tt31738051 || fictional-ember-transit || fictional-clockwork-tide || fictional-paper-moons-of-caldera || tt11609626 || tt34621791 || tt34872408 || tt31455863 || tt31080774,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G003,single_hop,dev,B2_dense_naive,True,ok,13.024,fictional-neon-meridian,fictional-neon-meridian || tt32014158 || tt21856850 || tt15311492 || tt36451817 || tt32751936 || tt33499787 || tt28302848 || tt14674972 || tt31848337 || fictional-paper-moons-of-caldera || tt23143606 || tt32409947 || tt28611345 || tt27369017 || tt30431117 || tt33440748 || tt36161641 || tt35672862,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G003,single_hop,dev,B3_final,True,ok,1217.598,fictional-neon-meridian,fictional-neon-meridian || tt34872408 || fictional-clockwork-tide || fictional-paper-moons-of-caldera || fictional-ember-transit || fictional-the-orchard-below || tt21856850 || tt32014158 || tt15311492 || tt28611345 || tt28302848 || tt19889242 || tt32409947 || tt32658576 || tt23143606 || tt33499787 || tt33440748 || tt31848337,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G004,single_hop,dev,B0_closed_book_refusal,True,refused,0.0,fictional-the-orchard-below,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G004,single_hop,dev,B1_bm25,True,ok,6.798,fictional-the-orchard-below,fictional-the-orchard-below || tt36307021 || tt33087870 || tt33088099 || tt10518942 || tt33043645 || tt32129938 || tt14576898 || tt11082468 || tt18182628 || tt34766794 || tt14201728 || tt29345740 || tt35889287 || tt26475239 || tt17056778 || tt18342860 || tt32502698 || tt13650572,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G004,single_hop,dev,B2_dense_naive,True,ok,18.338,fictional-the-orchard-below,fictional-the-orchard-below || tt36286603 || tt26427582 || tt33378223 || tt33083471 || tt33088887 || tt21152782 || tt28088049 || tt34107154 || tt31848337 || tt30691214 || tt34378914 || tt34163604 || tt30876828 || tt36177959 || tt35707396 || tt36417146 || tt32631944 || tt13273052,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G004,single_hop,dev,B3_final,True,ok,1330.065,fictional-the-orchard-below,fictional-the-orchard-below || tt33088887 || tt28088049 || tt26427582 || tt34163604 || tt33088099 || tt30876828 || tt36177959 || tt33378223 || tt33087870 || tt34378914 || tt31848337 || tt33043645 || tt21152782 || tt36286603 || tt36307021 || tt30691214 || tt34107154 || tt26475239,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G005,single_hop,dev,B0_closed_book_refusal,True,refused,0.0,fictional-the-orchard-below,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G005,single_hop,dev,B1_bm25,True,ok,19.03,fictional-the-orchard-below,fictional-the-orchard-below || tt36307021 || tt10518942 || tt33043645 || tt32129938 || tt14576898 || tt11082468 || tt18182628 || tt34766794 || tt14201728 || tt29345740 || tt35889287 || tt26475239 || tt17056778 || tt18342860 || tt32502698 || tt13650572 || tt31917699 || tt25377130,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G005,single_hop,dev,B2_dense_naive,True,ok,17.62,fictional-the-orchard-below,fictional-the-orchard-below || tt36286603 || tt32397787 || tt28302848 || tt33253151 || tt29377719 || tt35625318 || tt30691214 || tt11611166 || tt36177959 || tt32658576 || tt27802226 || tt32457035 || tt36120762 || tt33378223 || tt15516806 || tt26427582 || tt33270254 || tt27720130,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G005,single_hop,dev,B3_final,True,ok,1528.454,fictional-the-orchard-below,fictional-the-orchard-below || tt36177959 || tt32397787 || tt28302848 || tt36120762 || tt33043645 || tt33253151 || tt32658576 || tt14576898 || tt36307021 || tt33378223 || tt27802226 || tt32457035 || tt36286603 || tt11611166 || tt10518942 || tt18342860 || tt17056778 || tt35625318,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G006,single_hop,dev,B0_closed_book_refusal,True,refused,0.0,fictional-the-orchard-below,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G006,single_hop,dev,B1_bm25,True,ok,13.831,fictional-the-orchard-below,fictional-the-orchard-below || tt36307021 || fictional-neon-meridian || tt30851137 || fictional-ember-transit || fictional-clockwork-tide || tt31455863 || tt35571169 || fictional-paper-moons-of-caldera || tt32658576 || tt34734549 || tt32612507 || tt28611345 || tt33255196 || tt31738051 || tt33334564 || tt2355896 || tt30833294 || tt27215011,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G006,single_hop,dev,B2_dense_naive,True,ok,28.777,fictional-the-orchard-below,fictional-the-orchard-below || tt30691214 || tt29377719 || tt28553687 || tt27790748 || tt29671815 || tt27720130 || tt35718349 || tt34356684 || tt26424426 || tt34440913 || tt35568188 || tt32192760 || tt35933035 || tt33760366 || tt36286603 || tt13975248 || tt34766794 || tt36396485,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G006,single_hop,dev,B3_final,True,ok,1419.037,fictional-the-orchard-below,fictional-the-orchard-below || fictional-paper-moons-of-caldera || fictional-clockwork-tide || fictional-ember-transit || fictional-neon-meridian || tt30691214 || tt36307021 || tt26424426 || tt35571169 || tt35568188 || tt27790748 || tt32658576 || tt34356684 || tt29671815 || tt27720130 || tt31738051 || tt28553687 || tt33760366 || tt35718349,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G007,single_hop,dev,B0_closed_book_refusal,True,refused,0.0,fictional-ember-transit,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G007,single_hop,dev,B1_bm25,True,ok,15.063,fictional-ember-transit,fictional-ember-transit || tt33087870 || tt36120702 || tt33268003 || fictional-neon-meridian || tt29316652 || tt35291758 || tt33088099 || tt28718613 || tt10518942 || tt33043645 || tt32129938 || tt14576898 || tt11082468 || tt18182628 || tt34766794 || tt14201728 || tt29345740 || tt35889287,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G007,single_hop,dev,B2_dense_naive,True,ok,25.959,fictional-ember-transit,fictional-ember-transit || tt28718613 || tt26427582 || tt34163604 || tt35325482 || tt32228484 || tt28302848 || tt34861373 || tt33088099 || tt15474782 || tt1796506 || tt36417146 || tt33088887 || tt32298956 || tt36286603 || tt34259202 || tt32409947 || tt31326337 || tt33378223 || tt34388900,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G007,single_hop,dev,B3_final,True,ok,1187.47,fictional-ember-transit,fictional-ember-transit || tt33088887 || tt26427582 || tt32228484 || tt33088099 || tt34163604 || fictional-neon-meridian || tt36417146 || tt28302848 || tt15474782 || tt28718613 || tt35325482 || tt33043645 || tt34861373 || tt33087870 || tt32298956 || tt1796506 || tt35291758,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G008,single_hop,dev,B0_closed_book_refusal,True,refused,0.0,fictional-ember-transit,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G008,single_hop,dev,B1_bm25,True,ok,17.408,fictional-ember-transit,fictional-ember-transit || tt35669932 || tt29345740 || tt30320596 || tt15311492 || tt36120702 || tt31326337 || tt23039114 || tt33499146 || tt33268003 || tt27613895 || fictional-neon-meridian || tt34378914 || tt29316652 || tt33571304 || tt32658576 || tt29008864 || tt35291758 || tt35053810,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G008,single_hop,dev,B2_dense_naive,True,ok,21.315,fictional-ember-transit,fictional-ember-transit || tt29717607 || tt31326337 || fictional-neon-meridian || tt32525017 || tt32298956 || fictional-paper-moons-of-caldera || tt30745221 || tt32582148 || tt34388900 || tt31041943 || tt32457035 || tt33088099 || tt28718613 || tt26427582 || tt32228484 || tt32293052 || tt35325482 || tt23143606 || tt28106059,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G008,single_hop,dev,B3_final,True,ok,1194.149,fictional-ember-transit,fictional-ember-transit || tt32293052 || tt31326337 || tt26427582 || tt34378914 || tt31041943 || tt32457035 || tt30320596 || tt33088099 || tt32525017 || tt32658576 || fictional-neon-meridian || tt15311492 || tt29717607 || tt32582148 || tt28718613 || tt29345740 || tt33571304 || tt32298956,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G009,single_hop,dev,B0_closed_book_refusal,True,refused,0.0,fictional-ember-transit,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
G009,single_hop,dev,B1_bm25,True,ok,16.057,fictional-ember-transit,fictional-ember-transit || fictional-neon-meridian || fictional-the-orchard-below || fictional-clockwork-tide || fictional-paper-moons-of-caldera || tt33268003 || tt33240865 || tt35712847 || tt36120702 || tt29316652 || tt35291758 || tt30851137 || tt36130077 || tt31738051 || tt32658576 || tt35064672 || tt11609626,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G009,single_hop,dev,B2_dense_naive,True,ok,25.12,fictional-ember-transit,fictional-ember-transit || fictional-neon-meridian || fictional-the-orchard-below || fictional-paper-moons-of-caldera || tt26427582 || tt34599705 || tt35624695 || tt36313062 || tt35878103 || tt33088099 || tt32298956 || tt32840425 || fictional-clockwork-tide || tt35325482 || tt30833294 || tt32228484 || tt28718613 || tt31409061 || tt35322760 || tt32525017,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G009,single_hop,dev,B3_final,True,ok,1374.516,fictional-ember-transit,fictional-ember-transit || fictional-clockwork-tide || fictional-paper-moons-of-caldera || fictional-the-orchard-below || fictional-neon-meridian || tt33088099 || tt28718613 || tt32840425 || tt35878103 || tt31409061 || tt26427582 || tt35291758 || tt35325482 || tt34599705 || tt35624695 || tt36120702 || tt32228484,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
G010,single_hop,test,B0_closed_book_refusal,True,refused,0.0,fictional-clockwork-tide,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
