id,category,split,question,answerable,gold_answer,gold_document_ids,source_urls,evidence_quotes,searched_for,human_verified
U001,out_of_domain,dev,What is the capital of France?,false,OUT_OF_SCOPE,,,,"capital; France; geography facts absent from corpus",false
U002,out_of_domain,dev,What will the weather be in Chicago tomorrow?,false,OUT_OF_SCOPE,,,,"weather; Chicago; forecast absent from corpus",false
U003,out_of_domain,dev,What is Apple's current stock price?,false,OUT_OF_SCOPE,,,,"stock; Apple; current market price absent from corpus",false
U004,out_of_domain,dev,How do I solve the equation x squared minus five x plus six equals zero?,false,OUT_OF_SCOPE,,,,"quadratic equation; roots; algebra absent from corpus",false
U005,out_of_domain,dev,Write a Python implementation of quicksort.,false,OUT_OF_SCOPE,,,,"Python; quicksort; programming instructions absent from corpus",false
U006,out_of_domain,dev,Give me a vegetarian lasagna recipe.,false,OUT_OF_SCOPE,,,,"vegetarian; lasagna; recipe absent from corpus",false
U007,out_of_domain,dev,What could cause a severe headache and blurred vision?,false,OUT_OF_SCOPE,,,,"headache; blurred vision; medical guidance absent from corpus",false
U008,out_of_domain,dev,Can my landlord evict me without written notice?,false,OUT_OF_SCOPE,,,,"landlord; eviction; written notice; legal guidance absent from corpus",false
U009,out_of_domain,dev,How do you say good morning in Japanese?,false,OUT_OF_SCOPE,,,,"Japanese; translation; good morning absent from corpus",false
U010,out_of_domain,dev,Who is the current president of Brazil?,false,OUT_OF_SCOPE,,,,"Brazil; president; current politics absent from corpus",false
U011,out_of_domain,dev,What was the score of the Lakers' most recent game?,false,OUT_OF_SCOPE,,,,"Lakers; score; recent sports result absent from corpus",false
U012,out_of_domain,dev,How long is a nonstop flight from New York to Tokyo?,false,OUT_OF_SCOPE,,,,"flight duration; New York; Tokyo; travel facts absent from corpus",false
U013,out_of_domain,dev,At what temperature does water boil at high altitude?,false,OUT_OF_SCOPE,,,,"boiling temperature; altitude; physics absent from corpus",false
U014,out_of_domain,dev,Write a short poem about autumn rain.,false,OUT_OF_SCOPE,,,,"poem; autumn rain; creative writing absent from corpus",false
U015,out_of_domain,dev,How can I recover a forgotten email password?,false,OUT_OF_SCOPE,,,,"email password; account recovery absent from corpus",false
U016,out_of_domain,dev,What time is the next train from Boston to Providence?,false,OUT_OF_SCOPE,,,,"train; Boston; Providence; live schedule absent from corpus",false
U017,out_of_domain,dev,When is the federal income-tax filing deadline?,false,OUT_OF_SCOPE,,,,"federal tax; filing deadline absent from corpus",false
U018,out_of_domain,dev,How do I restart a failing Kubernetes pod?,false,OUT_OF_SCOPE,,,,"Kubernetes; pod; restart; technical instructions absent from corpus",false
U019,out_of_domain,dev,What is the monthly payment on a 300000 dollar mortgage?,false,OUT_OF_SCOPE,,,,"mortgage; monthly payment; interest calculation absent from corpus",false
U020,out_of_domain,dev,What is the chemical formula for sulfuric acid?,false,OUT_OF_SCOPE,,,,"sulfuric acid; chemical formula absent from corpus",false
U021,out_of_domain,dev,Explain photosynthesis to a fifth-grade student.,false,OUT_OF_SCOPE,,,,"photosynthesis; plants; science lesson absent from corpus",false
U022,out_of_domain,dev,How should I tune a six-string guitar?,false,OUT_OF_SCOPE,,,,"guitar; string tuning absent from corpus",false
U023,out_of_domain,dev,How many calories are in a bowl of oatmeal with banana?,false,OUT_OF_SCOPE,,,,"calories; oatmeal; banana; nutrition absent from corpus",false
U024,out_of_domain,dev,Write a SQL query that finds duplicate customer emails.,false,OUT_OF_SCOPE,,,,"SQL; duplicate emails; database programming absent from corpus",false
U025,out_of_domain,test,Will it rain in London this weekend?,false,OUT_OF_SCOPE,,,,"London; rain; weekend forecast absent from corpus",false
U026,out_of_domain,test,What is the current price of Bitcoin?,false,OUT_OF_SCOPE,,,,"Bitcoin; current price; cryptocurrency absent from corpus",false
U027,out_of_domain,test,Who won the most recent Super Bowl?,false,OUT_OF_SCOPE,,,,"Super Bowl; winner; sports result absent from corpus",false
U028,out_of_domain,test,What dose of ibuprofen should an adult take?,false,OUT_OF_SCOPE,,,,"ibuprofen; adult dose; medical advice absent from corpus",false
U029,out_of_domain,test,Is a verbal contract legally enforceable?,false,OUT_OF_SCOPE,,,,"verbal contract; enforceability; legal advice absent from corpus",false
U030,out_of_domain,test,Why does my C plus plus program have a segmentation fault?,false,OUT_OF_SCOPE,,,,"C plus plus; segmentation fault; debugging absent from corpus",false
