id,baseline,error_label,status,question,top_20_document_ids
U001,B1_bm25,out_of_domain_not_refused,ok,What is the capital of France?,tt28553375 || tt33096650 || tt36187539 || tt31136586 || tt32358921 || tt29316652 || tt13665532 || tt30851137 || tt31455863 || tt35571169 || tt12097608 || tt32658576 || tt34734549 || tt32612507 || tt28611345 || tt33255196 || tt31738051 || tt33334564 || tt2355896 || tt30833294
U001,B2_dense_naive,out_of_domain_not_refused,ok,What is the capital of France?,tt28553375 || tt36187539 || tt36048393 || tt32358921 || tt11611166 || tt29316652 || tt12097608 || tt33509147 || tt33708076 || tt36230671 || tt32347068 || tt14984912 || tt35671745 || tt32397787 || tt30958418 || tt13129406 || tt14850054 || tt33980836 || tt34916741 || tt36415552
U002,B1_bm25,out_of_domain_not_refused,ok,What will the weather be in Chicago tomorrow?,tt32192760 || tt30851137 || tt35339964 || tt24060916 || tt35079512 || tt32542065 || tt35373270 || tt33255196 || tt32298956 || tt10845876 || tt32840425 || tt11609626 || tt36130077 || tt34705112 || tt29897844 || tt26680792 || tt18239362 || tt31848337 || tt32612507 || tt31689648
U002,B2_dense_naive,out_of_domain_not_refused,ok,What will the weather be in Chicago tomorrow?,tt36415552 || tt35079512 || tt27558029 || tt33499787 || tt28106059 || tt32547691 || tt36331860 || tt21853406 || fictional-neon-meridian || tt32409947 || tt34934816 || tt33058293 || tt35339964 || tt31689648 || tt33253151 || tt29516222 || tt28302848 || tt19853742 || tt32362890 || tt32125009
U003,B1_bm25,out_of_domain_not_refused,ok,What is Apple's current stock price?,tt30827810 || tt24060916 || tt34163604 || tt30691214 || tt28302848 || tt27919019 || tt27720130 || tt35625057 || tt36163614 || tt30851137 || tt36130077 || tt31738051 || tt24854592 || tt32658576 || fictional-the-orchard-below || tt35064672 || tt11609626 || tt33334564 || tt35509393 || tt31455863
U003,B2_dense_naive,out_of_domain_not_refused,ok,What is Apple's current stock price?,tt24060916 || tt30691214 || tt21853406 || fictional-the-orchard-below || tt1959374 || tt21109170 || tt18212138 || tt21364576 || tt14201728 || tt33571304 || tt27720130 || tt33612209 || tt24854592 || tt31867154 || tt22046822 || tt35718349 || tt32658576 || tt34459219 || tt26470786
U004,B1_bm25,out_of_domain_not_refused,ok,How do I solve the equation x squared minus five x plus six equals zero?,tt35004350 || tt21266572 || tt31113669 || tt31315283 || tt35712847 || tt12042730 || tt36322381 || tt30227670 || tt35376053 || tt31382021 || tt26258714 || tt32161395 || tt30505578 || tt27818128 || tt35249541 || tt35819561 || tt32317643 || tt34705112 || tt32093575 || tt35048004
U005,B1_bm25,out_of_domain_not_refused,ok,Write a Python implementation of quicksort.,tt35047940 || tt35891686 || tt33998222 || tt1402593 || tt33270254 || tt20259240 || tt28088049 || tt33480564 || tt36107540 || tt36161641 || tt29952017 || tt27451332 || tt28447429 || tt33293600 || tt14676094 || tt34383748 || tt36118360 || tt32573398 || tt34621791 || tt1742179
U005,B2_dense_naive,out_of_domain_not_refused,ok,Write a Python implementation of quicksort.,tt31848337 || tt32658576 || tt32631944 || tt22046822 || tt33253151 || tt35682680 || tt31050594 || tt34510525 || tt36177959 || tt30978108 || tt36314978 || tt34587486 || tt33247653 || fictional-clockwork-tide || tt34579449 || tt29302662 || tt35111865 || tt29493810 || tt32293052 || tt32118617
U006,B1_bm25,out_of_domain_not_refused,ok,Give me a vegetarian lasagna recipe.,tt36322381 || tt28553375 || tt32344535 || tt12421680 || tt14338246 || tt13137408 || tt33499857 || tt27720130 || tt26720806 || tt21092260 || tt36398612 || tt36461929 || tt35746577 || tt34446638 || tt36021583 || tt13868840 || tt23018852 || fictional-the-orchard-below || tt30876486 || tt27590933
U006,B2_dense_naive,out_of_domain_not_refused,ok,Give me a vegetarian lasagna recipe.,tt33354831 || tt33996258 || tt29377719 || tt35611573 || tt33268003 || tt33097798 || tt35828434 || tt35748025 || tt28603964 || tt30012780 || tt15180340 || tt35683453 || tt30267245 || tt27552099 || tt36067615 || tt34693872 || tt35618773 || tt35325482 || tt31888498 || tt35295423
U007,B1_bm25,out_of_domain_not_refused,ok,What could cause a severe headache and blurred vision?,tt32033768 || tt35672651 || tt36286603 || tt36201830 || tt35051231 || tt35745479 || tt34382183 || tt23018852 || tt36130077 || tt35185593 || tt34622142 || tt36241806 || tt34890345 || tt28786970 || tt19838566 || tt36052167 || tt28119167 || tt33334564 || tt34210614 || tt34383465
U007,B2_dense_naive,out_of_domain_not_refused,ok,What could cause a severe headache and blurred vision?,tt19838566 || tt35672651 || tt34210614 || tt34172063 || tt32362890 || tt33763941 || tt35323618 || tt23685396 || tt27558029 || tt32437905 || tt35745479 || tt10873988 || tt32315584 || tt34622142 || tt29281812 || tt30007172 || tt31849590 || tt36238824 || tt31474395 || tt32141377
U008,B1_bm25,out_of_domain_not_refused,ok,Can my landlord evict me without written notice?,tt36322381 || tt31382021 || tt28078235 || tt33349109 || tt36270448 || tt33474152 || tt35509393 || tt33087870 || tt34583541 || tt26671990 || tt13080164 || tt19838566 || tt36178459 || tt13652154 || tt31110228 || tt32612507 || tt11082468 || tt30324264 || tt34766794 || tt32565993
U008,B2_dense_naive,out_of_domain_not_refused,ok,Can my landlord evict me without written notice?,tt28078235 || tt35854741 || tt35625318 || tt35111865 || tt35407595 || tt27558029 || tt33349109 || tt29482602 || tt35520399 || tt36067615 || tt32873023 || tt32344535 || tt29302662 || tt14201728 || tt35933035 || tt35509393 || tt33247323 || tt14191408 || tt35745479 || tt11429408
